burger.letters.com,[01/Jul/1995:00:00:12,GET /shuttle/countdown/video/livevideo.gif HTTP/1.0,200,0,/shuttle/countdown/video/livevideo.gif
unicomp6.unicomp.net,[01/Jul/1995:00:00:14,GET /shuttle/countdown/count.gif HTTP/1.0,200,40310,/shuttle/countdown/count.gif
d104.aa.net,[01/Jul/1995:00:00:15,GET /shuttle/countdown/count.gif HTTP/1.0,200,40310,/shuttle/countdown/count.gif
205.189.154.54,[01/Jul/1995:00:00:29,GET /shuttle/countdown/count.gif HTTP/1.0,200,40310,/shuttle/countdown/count.gif
ix-orl2-01.ix.netcom.com,[01/Jul/1995:00:00:44,GET /shuttle/countdown/count.gif HTTP/1.0,200,40310,/shuttle/countdown/count.gif
port26.annex2.nwlink.com,[01/Jul/1995:00:01:04,GET /software/winvn/winvn.gif HTTP/1.0,200,25218,/software/winvn/winvn.gif
port26.annex2.nwlink.com,[01/Jul/1995:00:01:04,GET /images/construct.gif HTTP/1.0,200,1414,/images/construct.gif
port26.annex2.nwlink.com,[01/Jul/1995:00:01:04,GET /software/winvn/bluemarb.gif HTTP/1.0,200,4441,/software/winvn/bluemarb.gif
port26.annex2.nwlink.com,[01/Jul/1995:00:01:17,GET /software/winvn/wvsmall.gif HTTP/1.0,200,13372,/software/winvn/wvsmall.gif
www-b4.proxy.aol.com,[01/Jul/1995:00:01:21,GET /shuttle/countdown/video/livevideo.gif HTTP/1.0,200,70712,/shuttle/countdown/video/livevideo.gif
link097.txdirect.net,[01/Jul/1995:00:01:27,GET /images/launchmedium.gif HTTP/1.0,200,11853,/images/launchmedium.gif
slip1.yab.com,[01/Jul/1995:00:01:29,GET /shuttle/resources/orbiters/endeavour.gif HTTP/1.0,200,16991,/shuttle/resources/orbiters/endeavour.gif
onyx.southwind.net,[01/Jul/1995:00:01:35,GET /shuttle/countdown/count.gif HTTP/1.0,200,40310,/shuttle/countdown/count.gif
gater3.sematech.org,[01/Jul/1995:00:01:50,GET /shuttle/countdown/count.gif HTTP/1.0,200,40310,/shuttle/countdown/count.gif
ix-or10-06.ix.netcom.com,[01/Jul/1995:00:01:57,GET /software/winvn/userguide/wvnguide.gif HTTP/1.0,200,4151,/software/winvn/userguide/wvnguide.gif
dave.dev1.ihub.com,[01/Jul/1995:00:01:58,GET /shuttle/countdown/count.gif HTTP/1.0,200,40310,/shuttle/countdown/count.gif
link097.txdirect.net,[01/Jul/1995:00:01:59,GET /images/ksclogosmall.gif HTTP/1.0,200,3635,/images/ksclogosmall.gif
ix-or10-06.ix.netcom.com,[01/Jul/1995:00:02:04,GET /software/winvn/userguide/winvnsm.gif HTTP/1.0,200,3293,/software/winvn/userguide/winvnsm.gif
port2.electrotex.com,[01/Jul/1995:00:02:12,GET /shuttle/countdown/video/livevideo.gif HTTP/1.0,200,70712,/shuttle/countdown/video/livevideo.gif
