gater3.sematech.org,[01/Jul/1995:00:06:28,GET /shuttle/countdown/tour.html HTTP/1.0,200,4347,/shuttle/countdown/tour.html
ad12-051.compuserve.com,[01/Jul/1995:00:06:30,GET /ksc.html HTTP/1.0,200,7074,/ksc.html
janice.cc.wwu.edu,[01/Jul/1995:00:06:35,GET /shuttle/countdown/liftoff.html HTTP/1.0,200,4538,/shuttle/countdown/liftoff.html
charger.execpc.com,[01/Jul/1995:00:06:43,GET /history/mercury/mercury.html HTTP/1.0,200,1871,/history/mercury/mercury.html
ppp-mia-53.shadow.net,[01/Jul/1995:00:06:46,GET /ksc.html HTTP/1.0,200,7074,/ksc.html
gater3.sematech.org,[01/Jul/1995:00:07:13,GET /ksc.html HTTP/1.0,200,7074,/ksc.html
ppp236.iadfw.net,[01/Jul/1995:00:07:20,GET /software/winvn/winvn.html HTTP/1.0,200,9867,/software/winvn/winvn.html
asp.erinet.com,[01/Jul/1995:00:07:23,GET /software/winvn/winvn.html HTTP/1.0,200,9867,/software/winvn/winvn.html
dnet018.sat.texas.net,[01/Jul/1995:00:07:47,GET /ksc.html HTTP/1.0,200,7074,/ksc.html
www-proxy.crl.research.digital.com,[01/Jul/1995:00:08:05,GET /shuttle/countdown/liftoff.html HTTP/1.0,200,4538,/shuttle/countdown/liftoff.html
brandt.xensei.com,[01/Jul/1995:00:08:06,GET /shuttle/countdown/liftoff.html HTTP/1.0,304,0,/shuttle/countdown/liftoff.html
slip1.kias.com,[01/Jul/1995:00:08:10,GET /shuttle/missions/missions.html HTTP/1.0,200,8677,/shuttle/missions/missions.html
www-a1.proxy.aol.com,[01/Jul/1995:00:08:59,GET /shuttle/countdown/tour.html HTTP/1.0,200,4347,/shuttle/countdown/tour.html
pipe6.nyc.pipeline.com,[01/Jul/1995:00:09:00,GET /ksc.html HTTP/1.0,200,7074,/ksc.html
wwwproxy.info.au,[01/Jul/1995:00:09:18,GET /software/winvn/winvn.html HTTP/1.0,200,9867,/software/winvn/winvn.html
brandt.xensei.com,[01/Jul/1995:00:09:34,GET /shuttle/countdown/liftoff.html HTTP/1.0,304,0,/shuttle/countdown/liftoff.html
slip1.kias.com,[01/Jul/1995:00:09:55,GET /htbin/wais.pl HTTP/1.0,200,308,/htbin/wais.pl
www-a1.proxy.aol.com,[01/Jul/1995:00:10:16,GET /shuttle/countdown/lps/fr.html HTTP/1.0,200,1879,/shuttle/countdown/lps/fr.html
netport-27.iu.net,[01/Jul/1995:00:10:19,GET /pub/winvn/readme.txt HTTP/1.0,404,-,/pub/winvn/readme.txt
corp-uu.infoseek.com,[01/Jul/1995:00:10:22,GET /ksc.html HTTP/1.0,200,7074,/ksc.html
ix-dfw13-20.ix.netcom.com,[01/Jul/1995:00:10:23,GET /shuttle/countdown/liftoff.html HTTP/1.0,200,4538,/shuttle/countdown/liftoff.html
netport-27.iu.net,[01/Jul/1995:00:10:28,GET /pub/winvn/readme.txt HTTP/1.0,404,-,/pub/winvn/readme.txt
brandt.xensei.com,[01/Jul/1995:00:10:41,GET /shuttle/countdown/liftoff.html HTTP/1.0,304,0,/shuttle/countdown/liftoff.html
taiki4.envi.osakafu-u.ac.jp,[01/Jul/1995:00:10:45,GET /ksc.html HTTP/1.0,200,7074,/ksc.html
dynip38.efn.org,[01/Jul/1995:00:10:50,GET /software HTTP/1.0,302,-,/software
129.188.154.200,[01/Jul/1995:00:11:14,GET /shuttle/missions HTTP/1.0,302,-,/shuttle/missions
news.ti.com,[01/Jul/1995:00:11:19,GET /shuttle/missions/100th.html HTTP/1.0,200,32303,/shuttle/missions/100th.html
www-a1.proxy.aol.com,[01/Jul/1995:00:11:24,GET /facilities/tour.html HTTP/1.0,200,3723,/facilities/tour.html
129.188.154.200,[01/Jul/1995:00:11:35,GET /shuttle HTTP/1.0,302,-,/shuttle
dynip38.efn.org,[01/Jul/1995:00:11:36,GET /software/winvn/release.txt HTTP/1.0,200,23052,/software/winvn/release.txt
ottgate2.bnr.ca,[01/Jul/1995:00:11:42,GET /shuttle/countdown/count.html HTTP/1.0,200,73231,/shuttle/countdown/count.html
200.13.2.37,[01/Jul/1995:00:11:48,GET /shuttle/missions/missions.html HTTP/1.0,200,8677,/shuttle/missions/missions.html
dynip38.efn.org,[01/Jul/1995:00:11:49,GET /software/winvn/winvn.html HTTP/1.0,200,9867,/software/winvn/winvn.html
teleman.pr.mcs.net,[01/Jul/1995:00:11:56,GET /shuttle/countdown/tour.html HTTP/1.0,200,4347,/shuttle/countdown/tour.html
ppp046.st.rim.or.jp,[01/Jul/1995:00:11:57,GET /ksc.html HTTP/1.0,200,7074,/ksc.html
www-a1.proxy.aol.com,[01/Jul/1995:00:12:20,GET /facilities/mlp.html HTTP/1.0,200,2653,/facilities/mlp.html
teleman.pr.mcs.net,[01/Jul/1995:00:12:26,GET /shuttle/countdown/liftoff.html HTTP/1.0,200,4538,/shuttle/countdown/liftoff.html
blv-pm0-ip28.halcyon.com,[01/Jul/1995:00:12:28,GET /ksc.html HTTP/1.0,304,0,/ksc.html
blv-pm0-ip28.halcyon.com,[01/Jul/1995:00:12:36,GET /history/history.html HTTP/1.0,304,0,/history/history.html
blv-pm0-ip28.halcyon.com,[01/Jul/1995:00:12:40,GET /history/apollo/apollo.html HTTP/1.0,304,0,/history/apollo/apollo.html
burger.letters.com,[01/Jul/1995:00:12:42,GET /shuttle/countdown/liftoff.html HTTP/1.0,304,0,/shuttle/countdown/liftoff.html
129.188.154.200,[01/Jul/1995:00:12:51,GET /shuttle HTTP/1.0,302,-,/shuttle
oahu-53.u.aloha.net,[01/Jul/1995:00:13:05,GET /shuttle/missions/missions.html HTTP/1.0,200,8677,/shuttle/missions/missions.html
uconnvm.uconn.edu,[01/Jul/1995:00:13:13,GET /ksc.html HTTP/1.0,200,7074,/ksc.html
blv-pm0-ip28.halcyon.com,[01/Jul/1995:00:13:25,GET /history/skylab/skylab.html HTTP/1.0,200,1687,/history/skylab/skylab.html
kenmarks-ppp.clark.net,[01/Jul/1995:00:13:28,GET /software/winvn/winvn.html HTTP/1.0,200,9867,/software/winvn/winvn.html
kuts5p06.cc.ukans.edu,[01/Jul/1995:00:13:38,GET /ksc.html HTTP/1.0,200,7074,/ksc.html
boing.dgsys.com,[01/Jul/1995:00:14:30,GET /facts/faq11.html HTTP/1.0,200,22096,/facts/faq11.html
slip-5.io.com,[01/Jul/1995:00:14:36,GET /history/apollo/apollo.html HTTP/1.0,200,3258,/history/apollo/apollo.html
ottgate2.bnr.ca,[01/Jul/1995:00:14:37,GET /shuttle/countdown/countdown.html HTTP/1.0,304,0,/shuttle/countdown/countdown.html
156.151.176.30,[01/Jul/1995:00:16:04,GET /ksc.html HTTP/1.0,200,7074,/ksc.html
detroit.freenet.org,[01/Jul/1995:00:16:10,GET /shuttle/countdown HTTP/1.0,302,-,/shuttle/countdown
blv-pm0-ip28.halcyon.com,[01/Jul/1995:00:16:14,GET /facts/facts.html HTTP/1.0,200,4717,/facts/facts.html
shrspine.rapidramp.com,[01/Jul/1995:00:16:15,GET /shuttle/missions/missions.html HTTP/1.0,304,0,/shuttle/missions/missions.html
annex-p2.sci.dixie.edu,[01/Jul/1995:00:16:20,GET /shuttle/countdown/liftoff.html HTTP/1.0,200,4538,/shuttle/countdown/liftoff.html
blv-pm0-ip28.halcyon.com,[01/Jul/1995:00:16:33,GET /facts/faq06.html HTTP/1.0,200,12686,/facts/faq06.html
156.151.176.45,[01/Jul/1995:00:16:35,GET /ksc.html HTTP/1.0,304,0,/ksc.html
ppp111.cs.mci.com,[01/Jul/1995:00:16:38,GET /shuttle/resources/orbiters/atlantis.html HTTP/1.0,200,7025,/shuttle/resources/orbiters/atlantis.html
svasu.extern.ucsd.edu,[01/Jul/1995:00:16:43,GET /history/apollo/apollo.html HTTP/1.0,200,3258,/history/apollo/apollo.html
kuts5p06.cc.ukans.edu,[01/Jul/1995:00:16:44,GET /ksc.html HTTP/1.0,200,7074,/ksc.html
cu-dialup-1005.cit.cornell.edu,[01/Jul/1995:00:16:46,GET /software/winvn/winvn.html HTTP/1.0,200,9867,/software/winvn/winvn.html
129.188.154.200,[01/Jul/1995:00:16:51,GET /htbin/wais.pl HTTP/1.0,200,308,/htbin/wais.pl
acs4.acs.ucalgary.ca,[01/Jul/1995:00:16:53,GET /shuttle/missions/missions.html HTTP/1.0,200,8677,/shuttle/missions/missions.html
shrspine.rapidramp.com,[01/Jul/1995:00:17:05,GET /facts/faq12.html HTTP/1.0,200,19547,/facts/faq12.html
kuts5p06.cc.ukans.edu,[01/Jul/1995:00:17:05,GET /shuttle/missions/missions.html HTTP/1.0,200,8677,/shuttle/missions/missions.html
dialup61.afn.org,[01/Jul/1995:00:17:19,GET /shuttle/countdown/countdown.html HTTP/1.0,200,3985,/shuttle/countdown/countdown.html
129.188.154.200,[01/Jul/1995:00:17:32,GET /shuttle/countdown/lps/mpeg.html HTTP/1.0,200,1221,/shuttle/countdown/lps/mpeg.html
