NjMB5ZraQWwAf7s5dvXFKw==,01/Jul/1995:00:00:01,GET /history/apollo/ HTTP/1.0,200,6245
bPonP7j1KAg7MAbVjgIDife92xj4zp43X9R63seFh/Q=,01/Jul/1995:00:00:06,GET /shuttle/countdown/ HTTP/1.0,200,3985
l86Lxj1H7XObOoAaJyI2IA==,01/Jul/1995:00:00:09,GET /shuttle/missions/sts-73/mission-sts-73.html HTTP/1.0,200,4085
ZJS+zghIqkgwsGkI0BUJMZ4D3FiPSry9/apg4pBa5G4=,01/Jul/1995:00:00:11,GET /shuttle/countdown/liftoff.html HTTP/1.0,304,0
/nTxOX8L9mXv6jBPZ0uWpQ==,01/Jul/1995:00:00:12,GET /shuttle/countdown/countdown.html HTTP/1.0,200,3985
r0epAbdqVSE3T7KRvpDqbw==,01/Jul/1995:00:00:13,GET /shuttle/countdown/ HTTP/1.0,200,3985
0hkyp2vY+79oCPSOgstCDA==,01/Jul/1995:00:00:13,GET / HTTP/1.0,200,7074
s+P7Q5u0fYBTv4OtE8sIdhytZ2sEfoN6+JdhGFrMCxc=,01/Jul/1995:00:00:18,GET /facts/about_ksc.html HTTP/1.0,200,3977
aKhmRlyZfxgZjRY3A493Kg==,01/Jul/1995:00:00:24,GET /shuttle/countdown/ HTTP/1.0,200,3985
LMt5ZvUwuB93H0bOsKCLFWX/mPIhvtXF+Rw3RJvweRM=,01/Jul/1995:00:00:25,GET /shuttle/missions/51-l/mission-51-l.html HTTP/1.0,200,6723
aJO2WufAAD32bPKH5NKLLNFyRm4nLA8F94N3+2caYN0=,01/Jul/1995:00:00:41,GET /shuttle/countdown/ HTTP/1.0,200,3985
bBFiLRGz85APLtPyiBa/WZKBW5XYDvXX/Ui2SpvNv9g=,01/Jul/1995:00:00:50,GET /shuttle/missions/sts-71/mission-sts-71.html HTTP/1.0,200,12040
NjMB5ZraQWwAf7s5dvXFKw==,01/Jul/1995:00:00:59,GET /history/ HTTP/1.0,200,1382
ALB4g3JAMuxhRZqrNYnTb6BL8Ip644GSgzdl3N7/MzE=,01/Jul/1995:00:01:02,GET /software/winvn/winvn.html HTTP/1.0,200,9867
aKhmRlyZfxgZjRY3A493Kg==,01/Jul/1995:00:01:08,GET /shuttle/missions/sts-71/images/images.html HTTP/1.0,200,7634
RQ5m1WwhYhezwDfuuaGMcpQLJBhDLxm95nNAPgEfklA=,01/Jul/1995:00:01:09,GET /shuttle/countdown/ HTTP/1.0,200,3985
/nTxOX8L9mXv6jBPZ0uWpQ==,01/Jul/1995:00:01:13,GET /shuttle/missions/sts-71/images/images.html HTTP/1.0,200,7634
rcY9jAPaquRqBDW1fCHAVg==,01/Jul/1995:00:01:26,GET /shuttle/resources/orbiters/endeavour.html HTTP/1.0,200,6168
cLZOUfi0eBIPavpTuRy/BX8WlVvtDQZstgw8jUUhXcY=,01/Jul/1995:00:01:26,GET /shuttle/missions/missions.html HTTP/1.0,200,8677
