ZMf/dEyeZ48NWRptNc6x871cHzgHUTnVpZu/diMcsoc=,1995-07-01T00:01:55.000+05:30,804537115,GET /shuttle/missions/sts-71/images/images.html HTTP/1.0,200,7634,/shuttle/missions/sts-71/images/images.html,Canada,1995,7,1
cLZOUfi0eBIPavpTuRy/BX8WlVvtDQZstgw8jUUhXcY=,1995-07-01T00:01:55.000+05:30,804537115,GET /shuttle/resources/orbiters/columbia.html HTTP/1.0,200,6922,/shuttle/resources/orbiters/columbia.html,NA,1995,7,1
MFHkm5Ab211kVvIoqMa9VY3PjwslBM2BwdjqW09sgKo=,1995-07-01T00:01:55.000+05:30,804537115,GET /shuttle/countdown/ HTTP/1.0,200,3985,/shuttle/countdown/,NA,1995,7,1
2m2OuYfHW5djlHgalbjkkeNFOr4eKo+wiLvBrJgRepc=,1995-07-01T00:01:57.000+05:30,804537117,GET / HTTP/1.0,200,7074,/,NA,1995,7,1
IFyefWqKPnSHlPNVpuNKEq3278t7rQv4qrMVAGdkZKM=,1995-07-01T00:01:59.000+05:30,804537119,GET /shuttle/missions/missions.html HTTP/1.0,200,8677,/shuttle/missions/missions.html,NA,1995,7,1
vaTGRl907SALQsK17P357026VNJ+vWL0mFewqI7O1bc=,1995-07-01T00:02:05.000+05:30,804537125,GET /shuttle/countdown/ HTTP/1.0,200,3985,/shuttle/countdown/,NA,1995,7,1
R2tUyXLb0lH3W/LCZs/btQ==,1995-07-01T00:02:12.000+05:30,804537132,GET /shuttle/countdown/liftoff.html HTTP/1.0,200,4538,/shuttle/countdown/liftoff.html,United States,1995,7,1
a8FEAT6mvilJcFBacC1pKg==,1995-07-01T00:02:14.000+05:30,804537134,GET /software HTTP/1.0,302,-,/software,NA,1995,7,1
a8FEAT6mvilJcFBacC1pKg==,1995-07-01T00:02:15.000+05:30,804537135,GET /software/ HTTP/1.0,200,689,/software/,NA,1995,7,1
LMt5ZvUwuB93H0bOsKCLFWX/mPIhvtXF+Rw3RJvweRM=,1995-07-01T00:02:16.000+05:30,804537136,GET /shuttle/missions/51-l/51-l-info.html HTTP/1.0,200,1387,/shuttle/missions/51-l/51-l-info.html,Australia,1995,7,1
KaabDbkZKK80hZh8H9oSJndBFB7HNRFOIEJuqGeIFBg=,1995-07-01T00:02:16.000+05:30,804537136,GET /shuttle/countdown/ HTTP/1.0,200,3985,/shuttle/countdown/,NA,1995,7,1
bPonP7j1KAg7MAbVjgIDife92xj4zp43X9R63seFh/Q=,1995-07-01T00:02:17.000+05:30,804537137,GET /facilities/lcc.html HTTP/1.0,200,2489,/facilities/lcc.html,NA,1995,7,1
bBFiLRGz85APLtPyiBa/WZKBW5XYDvXX/Ui2SpvNv9g=,1995-07-01T00:02:25.000+05:30,804537145,GET /shuttle/countdown/ HTTP/1.0,200,3985,/shuttle/countdown/,NA,1995,7,1
d4J80cJO5bfVWMlevtuPd5sfkqeBrI1BrRnxczQ70Zs=,1995-07-01T00:02:25.000+05:30,804537145,GET /shuttle/missions/sts-71/sts-71-day-04-highlights.html HTTP/1.0,200,5544,/shuttle/missions/sts-71/sts-71-day-04-highlights.html,NA,1995,7,1
a8FEAT6mvilJcFBacC1pKg==,1995-07-01T00:02:26.000+05:30,804537146,GET /software/winvn/ HTTP/1.0,200,2244,/software/winvn/,NA,1995,7,1
7ikPXDZrDFNalfhvGyLopDWpS12n4jxU5+q0xxg4caQ=,1995-07-01T00:02:35.000+05:30,804537155,GET /shuttle/missions/ HTTP/1.0,200,12283,/shuttle/missions/,NA,1995,7,1
a8FEAT6mvilJcFBacC1pKg==,1995-07-01T00:02:39.000+05:30,804537159,GET /software/winvn/winvn.html HTTP/1.0,200,9867,/software/winvn/winvn.html,NA,1995,7,1
jAh1LksnqB8kwAcJF6uBiIQ5V0OwSNdB9vIIWSxxJeE=,1995-07-01T00:02:40.000+05:30,804537160,GET /software/winvn HTTP/1.0,302,-,/software/winvn,NA,1995,7,1
jAh1LksnqB8kwAcJF6uBiIQ5V0OwSNdB9vIIWSxxJeE=,1995-07-01T00:02:42.000+05:30,804537162,GET /software/winvn/ HTTP/1.0,200,2244,/software/winvn/,NA,1995,7,1
ayhTRcT6a05qJaER/UsUWTc0HUFXX+Zg3vNUG/9zmMM=,1995-07-01T00:02:43.000+05:30,804537163,GET /shuttle/missions/sts-71/images/images.html HTTP/1.0,200,7634,/shuttle/missions/sts-71/images/images.html,NA,1995,7,1
LMt5ZvUwuB93H0bOsKCLFWX/mPIhvtXF+Rw3RJvweRM=,1995-07-01T00:02:57.000+05:30,804537177,GET /shuttle/missions/51-l/images/ HTTP/1.0,200,1038,/shuttle/missions/51-l/images/,Australia,1995,7,1
VHxAketPSobQg1DcExCdlGa0BHQFcASLdOEYaTq+Xyc=,1995-07-01T00:02:57.000+05:30,804537177,GET /shuttle/missions/sts-71/mission-sts-71.html HTTP/1.0,200,12040,/shuttle/missions/sts-71/mission-sts-71.html,NA,1995,7,1
GfButKjAFXf9YUFdKjFP78r0GWeZJlbF6oxbzc1KVVo=,1995-07-01T00:02:57.000+05:30,804537177,GET /shuttle/countdown/ HTTP/1.0,304,0,/shuttle/countdown/,NA,1995,7,1
ybCmFpku/L5KWPWVCAzVsxz2XhSsuhGr5XzNVsPog2c=,1995-07-01T00:02:58.000+05:30,804537178,GET /msfc/astro_home.html HTTP/1.0,304,0,/msfc/astro_home.html,NA,1995,7,1
rcY9jAPaquRqBDW1fCHAVg==,1995-07-01T00:03:00.000+05:30,804537180,GET /shuttle/missions/sts-49/mission-sts-49.html HTTP/1.0,200,9379,/shuttle/missions/sts-49/mission-sts-49.html,NA,1995,7,1
EKdl/9IPYtvoMWmFfN91kKDc1cYFLxJH2/fAjutJwv4=,1995-07-01T00:03:01.000+05:30,804537181,GET / HTTP/1.0,200,7074,/,NA,1995,7,1
ZXb2o4vNF18jLp6bdeLfk8rsN+dD8SEGMfn596vu+5A=,1995-07-01T00:03:02.000+05:30,804537182,GET /shuttle/countdown/tour.html HTTP/1.0,200,4347,/shuttle/countdown/tour.html,NA,1995,7,1
bBFiLRGz85APLtPyiBa/WZKBW5XYDvXX/Ui2SpvNv9g=,1995-07-01T00:03:11.000+05:30,804537191,GET /shuttle/missions/sts-71/images/images.html HTTP/1.0,200,7634,/shuttle/missions/sts-71/images/images.html,NA,1995,7,1
QsoR4Xfu+8sW0NY/QtdWcQ==,1995-07-01T00:03:12.000+05:30,804537192,GET /facts/about_ksc.html HTTP/1.0,200,3977,/facts/about_ksc.html,United States,1995,7,1
LYUIlsB+HWuSuPoT5avoxFge1va+bcqxqVG6O0BkjnU=,1995-07-01T00:03:13.000+05:30,804537193,GET /shuttle/missions/sts-71/movies/movies.html HTTP/1.0,200,3092,/shuttle/missions/sts-71/movies/movies.html,NA,1995,7,1
cLZOUfi0eBIPavpTuRy/BX8WlVvtDQZstgw8jUUhXcY=,1995-07-01T00:03:13.000+05:30,804537193,GET /shuttle/missions/sts-65/mission-sts-65.html HTTP/1.0,200,130811,/shuttle/missions/sts-65/mission-sts-65.html,NA,1995,7,1
KaabDbkZKK80hZh8H9oSJndBFB7HNRFOIEJuqGeIFBg=,1995-07-01T00:03:14.000+05:30,804537194,GET /shuttle/missions/sts-71/images/images.html HTTP/1.0,200,7634,/shuttle/missions/sts-71/images/images.html,NA,1995,7,1
XLXYKV4gqezf5XCwAzILElQpZZCohJweV5WdnpJEnO4=,1995-07-01T00:03:15.000+05:30,804537195,GET /shuttle/missions/missions.html HTTP/1.0,200,8677,/shuttle/missions/missions.html,NA,1995,7,1
jAh1LksnqB8kwAcJF6uBiIQ5V0OwSNdB9vIIWSxxJeE=,1995-07-01T00:03:24.000+05:30,804537204,GET /software HTTP/1.0,302,-,/software,NA,1995,7,1
BpwwP2UGulcsJWfU4WlNdc0i59amuwHVXwZOMF1Odfs=,1995-07-01T00:03:25.000+05:30,804537205,GET /shuttle/missions/sts-71/movies/movies.html HTTP/1.0,200,3092,/shuttle/missions/sts-71/movies/movies.html,NA,1995,7,1
