cLZOUfi0eBIPavpTuRy/BX8WlVvtDQZstgw8jUUhXcY=,01/Jul/1995:00:01:44,GET /shuttle/missions/sts-78/mission-sts-78.html HTTP/1.0,200,4377,/shuttle/missions/sts-78/mission-sts-78.html,NA
ayhTRcT6a05qJaER/UsUWTc0HUFXX+Zg3vNUG/9zmMM=,01/Jul/1995:00:01:46,GET /shuttle/countdown/ HTTP/1.0,200,3985,/shuttle/countdown/,NA
jAh1LksnqB8kwAcJF6uBiIQ5V0OwSNdB9vIIWSxxJeE=,01/Jul/1995:00:01:52,GET /software/winvn/userguide/wvnguide.html HTTP/1.0,200,5998,/software/winvn/userguide/wvnguide.html,NA
ZMf/dEyeZ48NWRptNc6x871cHzgHUTnVpZu/diMcsoc=,01/Jul/1995:00:01:53,"GET /cgi-bin/imagemap/countdown?102,174 HTTP/1.0",302,110,"/cgi-bin/imagemap/countdown?102,174",Canada
ZMf/dEyeZ48NWRptNc6x871cHzgHUTnVpZu/diMcsoc=,01/Jul/1995:00:01:55,GET /shuttle/missions/sts-71/images/images.html HTTP/1.0,200,7634,/shuttle/missions/sts-71/images/images.html,Canada
cLZOUfi0eBIPavpTuRy/BX8WlVvtDQZstgw8jUUhXcY=,01/Jul/1995:00:01:55,GET /shuttle/resources/orbiters/columbia.html HTTP/1.0,200,6922,/shuttle/resources/orbiters/columbia.html,NA
MFHkm5Ab211kVvIoqMa9VY3PjwslBM2BwdjqW09sgKo=,01/Jul/1995:00:01:55,GET /shuttle/countdown/ HTTP/1.0,200,3985,/shuttle/countdown/,NA
2m2OuYfHW5djlHgalbjkkeNFOr4eKo+wiLvBrJgRepc=,01/Jul/1995:00:01:57,GET / HTTP/1.0,200,7074,/,NA
IFyefWqKPnSHlPNVpuNKEq3278t7rQv4qrMVAGdkZKM=,01/Jul/1995:00:01:59,GET /shuttle/missions/missions.html HTTP/1.0,200,8677,/shuttle/missions/missions.html,NA
vaTGRl907SALQsK17P357026VNJ+vWL0mFewqI7O1bc=,01/Jul/1995:00:02:05,GET /shuttle/countdown/ HTTP/1.0,200,3985,/shuttle/countdown/,NA
R2tUyXLb0lH3W/LCZs/btQ==,01/Jul/1995:00:02:12,GET /shuttle/countdown/liftoff.html HTTP/1.0,200,4538,/shuttle/countdown/liftoff.html,United States
a8FEAT6mvilJcFBacC1pKg==,01/Jul/1995:00:02:14,GET /software HTTP/1.0,302,-,/software,NA
a8FEAT6mvilJcFBacC1pKg==,01/Jul/1995:00:02:15,GET /software/ HTTP/1.0,200,689,/software/,NA
LMt5ZvUwuB93H0bOsKCLFWX/mPIhvtXF+Rw3RJvweRM=,01/Jul/1995:00:02:16,GET /shuttle/missions/51-l/51-l-info.html HTTP/1.0,200,1387,/shuttle/missions/51-l/51-l-info.html,Australia
KaabDbkZKK80hZh8H9oSJndBFB7HNRFOIEJuqGeIFBg=,01/Jul/1995:00:02:16,GET /shuttle/countdown/ HTTP/1.0,200,3985,/shuttle/countdown/,NA
bPonP7j1KAg7MAbVjgIDife92xj4zp43X9R63seFh/Q=,01/Jul/1995:00:02:17,GET /facilities/lcc.html HTTP/1.0,200,2489,/facilities/lcc.html,NA
LYUIlsB+HWuSuPoT5avoxFge1va+bcqxqVG6O0BkjnU=,01/Jul/1995:00:02:25,GET /shuttle/missions/sts-71/images/KSC-95EC-0918.txt HTTP/1.0,200,1391,/shuttle/missions/sts-71/images/KSC-95EC-0918.txt,NA
bBFiLRGz85APLtPyiBa/WZKBW5XYDvXX/Ui2SpvNv9g=,01/Jul/1995:00:02:25,GET /shuttle/countdown/ HTTP/1.0,200,3985,/shuttle/countdown/,NA
d4J80cJO5bfVWMlevtuPd5sfkqeBrI1BrRnxczQ70Zs=,01/Jul/1995:00:02:25,GET /shuttle/missions/sts-71/sts-71-day-04-highlights.html HTTP/1.0,200,5544,/shuttle/missions/sts-71/sts-71-day-04-highlights.html,NA
a8FEAT6mvilJcFBacC1pKg==,01/Jul/1995:00:02:26,GET /software/winvn/ HTTP/1.0,200,2244,/software/winvn/,NA
