ztwb0vSeioNUUqKZyyzNCZo6Zlba9jCzKwRpuyNUAr8=,1995-07-07T09:53:18.000Z,805110798,GET /shuttle/countdown/lps/mstr/mstr.html HTTP/1.0,200,3012,/shuttle/countdown/lps/mstr/mstr.html,NA,1995,7,7,65,0,ztwb0vSeioNUUqKZyyzNCZo6Zlba9jCzKwRpuyNUAr8=_0,/shuttle/countdown/,/shuttle/countdown/lps/mstr/mstr.html,4
ztwb0vSeioNUUqKZyyzNCZo6Zlba9jCzKwRpuyNUAr8=,1995-07-14T19:36:16.000Z,805750576,GET /shuttle/countdown/ HTTP/1.0,200,4247,/shuttle/countdown/,NA,1995,7,14,639778,1,ztwb0vSeioNUUqKZyyzNCZo6Zlba9jCzKwRpuyNUAr8=_1,/shuttle/countdown/,/shuttle/countdown/,1
ztwb0vSeioNUUqKZyyzNCZo6Zlba9jCzKwRpuyNUAr8=,1995-07-14T19:36:38.000Z,805750598,GET /shuttle/missions/sts-70/movies/movies.html HTTP/1.0,200,2167,/shuttle/missions/sts-70/movies/movies.html,NA,1995,7,14,22,0,ztwb0vSeioNUUqKZyyzNCZo6Zlba9jCzKwRpuyNUAr8=_1,/shuttle/countdown/,/shuttle/missions/sts-70/movies/movies.html,2
ztwb0vSeioNUUqKZyyzNCZo6Zlba9jCzKwRpuyNUAr8=,1995-07-14T19:37:10.000Z,805750630,GET /shuttle/missions/sts-70/images/images.html HTTP/1.0,200,7225,/shuttle/missions/sts-70/images/images.html,NA,1995,7,14,32,0,ztwb0vSeioNUUqKZyyzNCZo6Zlba9jCzKwRpuyNUAr8=_1,/shuttle/countdown/,/shuttle/missions/sts-70/images/images.html,3
ztwb0vSeioNUUqKZyyzNCZo6Zlba9jCzKwRpuyNUAr8=,1995-07-14T19:44:47.000Z,805751087,GET /shuttle/missions/sts-70/mission-sts-70.html HTTP/1.0,200,14489,/shuttle/missions/sts-70/mission-sts-70.html,NA,1995,7,14,457,0,ztwb0vSeioNUUqKZyyzNCZo6Zlba9jCzKwRpuyNUAr8=_1,/shuttle/countdown/,/shuttle/missions/sts-70/mission-sts-70.html,4
ztwb0vSeioNUUqKZyyzNCZo6Zlba9jCzKwRpuyNUAr8=,1995-07-14T19:53:29.000Z,805751609,GET /shuttle/missions/sts-70/mission-sts-70.html HTTP/1.0,200,14489,/shuttle/missions/sts-70/mission-sts-70.html,NA,1995,7,14,522,0,ztwb0vSeioNUUqKZyyzNCZo6Zlba9jCzKwRpuyNUAr8=_1,/shuttle/countdown/,/shuttle/missions/sts-70/mission-sts-70.html,5
zu004PWGnOzBjJJ3d8Kvsw==,1995-07-05T12:29:18.000Z,804947358,GET /history/apollo/apollo-13/apollo-13.html HTTP/1.0,200,18114,/history/apollo/apollo-13/apollo-13.html,United States,1995,7,5,,0,zu004PWGnOzBjJJ3d8Kvsw==_0,/history/apollo/apollo-13/apollo-13.html,/history/apollo/apollo-13/apollo-13.html,1
zu1H5WYjH4bn6WKiwqRuzT+U6VcALsCA5N7c2vFKc3c=,1995-07-08T04:05:49.000Z,805176349,GET /shuttle/countdown/liftoff.html HTTP/1.0,200,4943,/shuttle/countdown/liftoff.html,Australia,1995,7,8,,0,zu1H5WYjH4bn6WKiwqRuzT+U6VcALsCA5N7c2vFKc3c=_0,/shuttle/countdown/liftoff.html,/shuttle/countdown/liftoff.html,1
zu1H5WYjH4bn6WKiwqRuzT+U6VcALsCA5N7c2vFKc3c=,1995-07-08T04:06:33.000Z,805176393,GET /htbin/cdt_clock.pl HTTP/1.0,200,543,/htbin/cdt_clock.pl,Australia,1995,7,8,44,0,zu1H5WYjH4bn6WKiwqRuzT+U6VcALsCA5N7c2vFKc3c=_0,/shuttle/countdown/liftoff.html,/htbin/cdt_clock.pl,2
zu3RFmyjBf3faLPYsV4xDw==,1995-07-06T10:37:53.000Z,805027073,GET / HTTP/1.0,200,7067,/,Norway,1995,7,6,,0,zu3RFmyjBf3faLPYsV4xDw==_0,/,/,1
